station_id,Longitude,Latitude,Type,District
dongsi_aq,116.417,39.929,Urban,D4
tiantan_aq,116.407,39.886,Urban,D4
guanyuan_aq,116.339,39.929,Urban,D4
wanshouxigong_aq,116.352,39.878,Urban,D4
aotizhongxin_aq,116.397,39.982,Urban,D4
nongzhanguan_aq,116.461,39.937,Urban,D4
wanliu_aq,116.287,39.987,Urban,D1
beibuxinqu_aq,116.174,40.09,Urban,D1
zhiwuyuan_aq,116.207,40.002,Urban,D1
fengtaihuayuan_aq,116.279,39.863,Urban,D2
yungang_aq,116.146,39.824,Urban,D2
gucheng_aq,116.184,39.914,Urban,D2
fangshan_aq,116.136,39.742,Suburban,D2
daxing_aq,116.404,39.718,Suburban,D5
yizhuang_aq,116.506,39.795,Suburban,D5
tongzhou_aq,116.663,39.886,Suburban,D5
shunyi_aq,116.655,40.127,Suburban,D3
pingchang_aq,116.23,40.217,Suburban,D1
mentougou_aq,116.106,39.937,Suburban,D2
pinggu_aq,117.1,40.143,Suburban,D3
huairou_aq,116.628,40.328,Suburban,D3
miyun_aq,116.832,40.37,Suburban,D3
yanqin_aq,115.972,40.453,Suburban,D1
dingling_aq,116.22,40.292,Other,D1
badaling_aq,115.988,40.365,Other,D1
miyunshuiku_aq,116.911,40.499,Other,D3
donggaocun_aq,117.12,40.1,Other,D3
yongledian_aq,116.783,39.712,Other,D5
yufa_aq,116.3,39.52,Other,D2
liulihe_aq,116.0,39.58,Other,D2
qianmen_aq,116.395,39.899,Traffic,D4
yongdingmennei_aq,116.394,39.876,Traffic,D4
xizhimenbei_aq,116.349,39.954,Traffic,D4
nansanhuan_aq,116.368,39.856,Traffic,D4
dongsihuan_aq,116.483,39.939,Traffic,D4
