Cities,Freeway
City of Fremont / City of Oakland,I880-N
City of Fremont / City of Oakland,I880-S
City of Fremont / City of San Jose,I880-N
City of Fremont / City of San Jose,I880-S
City of Oakland / City of Richmond,I580-E
City of Oakland / City of Richmond,I580-W
City of Oakland / City of Richmond,I80-W
City of Oakland / City of Richmond,I80-E
City of Oakland / City of San Francisco,I80-W
City of Oakland / City of San Francisco,I80-E
City of Oakland / City of San Jose,I880-S
City of Oakland / City of San Jose,I880-N
City of Richmond / City of San Francisco,I80-E
City of Richmond / City of San Francisco,I80-W
City of San Francisco / City of San Jose,US101-S
City of San Francisco / City of San Jose,I280-N
City of San Francisco / City of San Jose,I280-S
City of San Francisco / City of San Jose,US101-N
